CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND
10,624,NAIIVE,3,0,13,0,33
20,2266,NAIIVE,196,132,17,193,37
30,1702,NAIIVE,329,226,158,326,55
50,24366,NAIIVE,1639,1214,251,1636,66
10,94,MEDIUM,1694,1241,263,1691,66
10,561,NAIIVE,28,9,13,28,0
20,2040,NAIIVE,183,126,27,183,2
30,3318,NAIIVE,542,396,116,539,38
50,30283,NAIIVE,2124,1671,147,2121,38
10,78,MEDIUM,2187,1714,160,2183,58
20,1327,MEDIUM,2481,1904,179,2474,145
30,6202,MEDIUM,3611,2798,188,3604,150
50,87496,MEDIUM,6938,5410,208,6927,230
10,453,NAIIVE,0,0,18,0,0
20,1485,NAIIVE,35,18,83,32,30
30,3376,NAIIVE,405,293,158,402,44
50,32275,NAIIVE,2178,1830,174,2175,46
10,93,MEDIUM,2286,1916,177,2283,50
20,750,MEDIUM,2634,2163,206,2630,61
30,4849,MEDIUM,3414,2683,209,3410,65
50,78541,MEDIUM,6241,4851,246,6236,80
10,86,EXPERT,6293,4886,281,6285,93
5,311,NAIIVE,2,0,6,0,14
10,125,NAIIVE,14,7,19,12,21
15,360,NAIIVE,87,51,32,84,47
20,514,NAIIVE,241,163,49,238,47
25,532,NAIIVE,353,239,121,350,54
5,36,MEDIUM,353,239,127,350,54
10,66,MEDIUM,413,277,145,408,63
15,177,MEDIUM,514,334,169,509,71
5,205,NAIIVE,0,0,5,0,0
10,109,NAIIVE,16,9,7,16,7
15,250,NAIIVE,90,54,25,90,7
20,307,NAIIVE,151,93,79,151,14
25,13999,NAIIVE,331,211,145,324,222
5,36,MEDIUM,337,213,151,330,222
5,219,NAIIVE,1,0,5,0,6
10,125,NAIIVE,36,21,14,35,8
15,223,NAIIVE,87,48,35,86,15
5,281,NAIIVE,2,1,4,0,12
10,116,NAIIVE,12,2,29,10,12
15,353,NAIIVE,121,83,61,118,18
20,301,NAIIVE,189,116,100,185,26
25,1144,NAIIVE,427,295,128,419,109
5,39,MEDIUM,441,300,134,433,117
10,96,MEDIUM,496,337,150,488,122
15,346,MEDIUM,665,431,153,657,126
5,265,NAIIVE,0,0,4,0,0
10,63,NAIIVE,1,0,24,0,3
15,280,NAIIVE,60,42,54,59,3
20,345,NAIIVE,129,82,112,128,7
25,1095,NAIIVE,402,277,136,401,7
5,3254,NAIIVE,0,0,4,0,0
10,266,NAIIVE,0,0,24,0,0
15,1250,NAIIVE,70,50,43,70,21
20,922,NAIIVE,110,78,107,110,28
25,3406,NAIIVE,462,375,137,459,64
5,94,MEDIUM,469,378,141,466,66
10,593,MEDIUM,555,443,146,552,68
15,687,MEDIUM,675,511,164,670,93
20,1297,MEDIUM,904,680,220,897,112
25,4051,MEDIUM,1419,1080,271,1410,144
5,79,EXPERT,1436,1085,277,1422,203
10,250,EXPERT,1492,1111,293,1477,213
15,860,EXPERT,1670,1213,307,1655,213
20,3458,EXPERT,2368,1797,311,2353,215
25,11327,EXPERT,3076,2234,340,3057,305
5,1125,NAIIVE,5,1,9,2,33
10,266,NAIIVE,17,10,25,14,35
15,1188,NAIIVE,68,42,64,65,40
20,1453,NAIIVE,195,136,64,192,40
25,4109,NAIIVE,601,460,64,596,54
5,922,NAIIVE,0,0,4,0,0
10,547,NAIIVE,66,45,7,66,9
15,391,NAIIVE,105,66,28,105,12
20,719,NAIIVE,155,98,82,155,14
25,1500,NAIIVE,252,146,185,251,30
5,94,MEDIUM,258,147,191,257,30
10,172,MEDIUM,290,164,212,288,36
5,828,NAIIVE,1,0,4,0,8
10,172,NAIIVE,7,0,19,6,8
15,719,NAIIVE,64,43,49,63,15
20,1047,NAIIVE,175,131,103,174,18
25,2114,NAIIVE,408,316,131,407,20
5,141,MEDIUM,412,317,137,411,20
10,204,MEDIUM,433,323,158,431,34
5,843,NAIIVE,1,0,0,0,3
10,438,NAIIVE,47,36,1,45,16
15,797,NAIIVE,141,104,30,136,57
20,968,NAIIVE,231,167,62,226,62
25,781,NAIIVE,261,173,179,256,70
5,954,NAIIVE,0,0,4,0,0
10,328,NAIIVE,11,4,26,9,8
5,931,NAIIVE,4,0,7,1,26
10,328,NAIIVE,33,12,22,30,26
15,421,NAIIVE,55,19,56,50,42
20,844,NAIIVE,111,54,118,106,45
25,2140,NAIIVE,350,234,185,345,53
5,47,MEDIUM,350,234,189,345,53
10,312,MEDIUM,414,279,204,409,64
15,672,MEDIUM,631,434,216,626,68
5,985,NAIIVE,4,0,3,4,3
10,253,NAIIVE,16,8,17,16,7
15,500,NAIIVE,68,50,37,68,7
20,453,NAIIVE,81,56,112,80,20
25,2937,NAIIVE,435,354,125,434,22
5,859,NAIIVE,0,0,3,0,0
10,437,NAIIVE,39,22,12,38,13
5,874,NAIIVE,0,0,3,0,0
10,407,NAIIVE,41,27,7,41,4
15,1531,NAIIVE,104,61,46,100,100
20,1093,NAIIVE,280,170,46,276,100
25,2812,NAIIVE,568,366,49,564,107
5,94,MEDIUM,568,366,57,564,114
10,172,MEDIUM,610,396,77,604,136
15,906,MEDIUM,831,559,117,822,172
20,1688,MEDIUM,1112,740,126,1103,182
25,3723,MEDIUM,1673,1150,175,1662,231
5,921,NAIIVE,0,0,6,0,0
10,532,NAIIVE,40,29,14,38,76
15,438,NAIIVE,95,65,26,93,78
20,1062,NAIIVE,270,196,61,268,87
25,2719,NAIIVE,632,465,64,630,91
5,1047,NAIIVE,0,0,3,0,0
10,281,NAIIVE,19,14,17,19,0
15,828,NAIIVE,140,103,21,140,2
20,1039,NAIIVE,260,178,78,259,17
25,450,NAIIVE,284,188,185,283,22
5,1000,NAIIVE,2,0,5,0,11
10,218,NAIIVE,3,0,28,1,11
15,640,NAIIVE,71,46,60,69,13
20,781,NAIIVE,116,69,115,111,55
25,1766,NAIIVE,330,215,202,322,96
5,63,MEDIUM,339,218,208,331,104
10,375,MEDIUM,404,267,208,394,118
15,657,MEDIUM,594,400,214,584,122
20,2533,MEDIUM,1069,785,234,1056,173
25,4013,MEDIUM,1653,1221,273,1640,175
5,906,NAIIVE,5,2,1,4,3
10,360,NAIIVE,48,24,7,47,11
15,473,NAIIVE,81,44,54,78,28
20,516,NAIIVE,110,56,135,107,30
25,3734,NAIIVE,524,379,154,520,43
5,969,NAIIVE,1,0,5,0,3
10,297,NAIIVE,30,11,18,29,3
15,656,NAIIVE,100,54,28,99,8
20,766,NAIIVE,171,87,81,170,8
5,874,NAIIVE,0,0,5,0,0
10,266,NAIIVE,12,1,26,10,21
15,625,NAIIVE,56,25,54,54,24
